SKU_Code,Design_No.,Stock,Category,Size,Color
AN201-RED-L,AN201,5,leggings,L,red
AN201-RED-M,AN201,5,leggings,M,red
AN201-RED-S,AN201,3,leggings,S,red
AN201-RED-XL,AN201,6,leggings,XL,red
AN201-RED-XXL,AN201,3,leggings,XXL,red
AN202-ORANGE-L,AN202,11,leggings,L,orange
AN202-ORANGE-M,AN202,3,leggings,M,orange
AN202-ORANGE-S,AN202,16,leggings,S,orange
AN202-ORANGE-XL,AN202,8,leggings,XL,orange
AN202-ORANGE-XXL,AN202,14,leggings,XXL,orange
AN203-MAROON-L,AN203,1,leggings,L,maroon
AN203-MAROON-M,AN203,2,leggings,M,maroon
AN203-MAROON-S,AN203,2,leggings,S,maroon
AN203-MAROON-XL,AN203,2,leggings,XL,maroon
AN203-MAROON-XXL,AN203,3,leggings,XXL,maroon
AN204-PURPLE-L,AN204,10,leggings,L,purple
AN204-PURPLE-M,AN204,4,leggings,M,purple
AN204-PURPLE-S,AN204,6,leggings,S,purple
AN204-PURPLE-XL,AN204,3,leggings,XL,purple
AN204-PURPLE-XXL,AN204,5,leggings,XXL,purple
AN205-YELLOW-L,AN205,9,leggings,L,yellow
AN205-YELLOW-M,AN205,7,leggings,M,yellow
AN205-YELLOW-S,AN205,6,leggings,S,yellow
AN205-YELLOW-XL,AN205,7,leggings,XL,yellow
AN205-YELLOW-XXL,AN205,13,leggings,XXL,yellow
AN206-GREEN-L,AN206,10,leggings,L,green
AN206-GREEN-M,AN206,13,leggings,M,green
AN206-GREEN-S,AN206,13,leggings,S,green
AN206-GREEN-XL,AN206,15,leggings,XL,green
AN206-GREEN-XXL,AN206,13,leggings,XXL,green
AN207-PINK-L,AN207,4,leggings,L,pink
AN207-PINK-M,AN207,2,leggings,M,pink
AN207-PINK-S,AN207,4,leggings,S,pink
AN207-PINK-XL,AN207,1,leggings,XL,pink
AN207-PINK-XXL,AN207,2,leggings,XXL,pink
AN209-BIEGE-L,AN209,4,leggings,L,beige
AN209-BIEGE-M,AN209,7,leggings,M,beige
AN209-BIEGE-S,AN209,4,leggings,S,beige
AN209-BIEGE-XL,AN209,3,leggings,XL,beige
AN209-BIEGE-XXL,AN209,3,leggings,XXL,beige
AN210-NAVY-L,AN210,5,leggings,L,navy blue
AN210-NAVY-M,AN210,3,leggings,M,navy blue
AN210-NAVY-S,AN210,4,leggings,S,navy blue
AN210-NAVY-XL,AN210,2,leggings,XL,navy blue
AN210-NAVY-XXL,AN210,2,leggings,XXL,navy blue
AN211-BLACK-L,AN211,2,leggings,L,black
AN211-BLACK-M,AN211,1,leggings,M,black
AN211-BLACK-S,AN211,7,leggings,S,black
AN211-BLACK-XL,AN211,3,leggings,XL,black
AN211-BLACK-XXL,AN211,3,leggings,XXL,black
AN212-WHITE-L,AN212,11,leggings,L,white
AN212-WHITE-M,AN212,8,leggings,M,white
AN212-WHITE-S,AN212,13,leggings,S,white
AN212-WHITE-XL,AN212,21,leggings,XL,white
AN212-WHITE-XXL,AN212,12,leggings,XXL,white
AN213-BROWN-L,AN213,2,leggings,L,brown
AN213-BROWN-M,AN213,7,leggings,M,brown
AN213-BROWN-S,AN213,8,leggings,S,brown
AN213-BROWN-XL,AN213,6,leggings,XL,brown
AN213-BROWN-XXL,AN213,8,leggings,XXL,brown
BL001-50PINK,BL001,33,blouse,FREE,pink
BL003-50BLACK,BL003,117,blouse,FREE,black
BL004-50CHIKU,BL004,38,blouse,FREE,beige
BL005-54RED,BL005,16,blouse,FREE,red
